article_id,coder_initials,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes
a001037,andy,2020-08-31,yes,,yes,,yes,,1,1,http://www.doi.org/10.17605/OSF.IO/R7CXZ,yes,,https://osf.io/r7cxz/,yes,,OSF,yes,,yes,,No issues
a001073,andy,2020-08-31,yes,,yes,,yes,,1,1,https://doi.org/10.17882/56796,yes,,https://www.seanoe.org/data/00456/56796/,yes,,SEANOE,yes,,partial,Over 100MB of data files,No issues
a001111,andy,2020-08-31,yes,,yes,,yes,,1,1,http://hdl.handle.net/1959.13/1387620,yes,,https://nova.newcastle.edu.au/vital/access/manager/Repository/uon:32640,yes,,NOVA,yes,,yes,,No issues
a001139,andy,2020-08-31,yes,,yes,,yes,,1,1,https://doi.org/10.5281/zenodo.1186639,yes,,https://zenodo.org/record/1186639#.X00OMdMvPOQ,yes,,Zenodo,yes,,partial,Over 100MB of data files,No issues
a001163,andy,2020-08-31,yes,,yes,,yes,,1,1,http://dx.doi.org/10.5284/1021668,yes,,https://archaeologydataservice.ac.uk/archives/view/elmsfarm_eh_2013/,yes,,Archaeology Data Service,yes,,partial,Over 100MB of data files,No issues
a001184,andy,2020-08-31,yes,,yes,,yes,,1,1,https://osf.io/xg5rj/wiki/home/,yes,,https://osf.io/xg5rj/wiki/home/,yes,,OSF,yes,,yes,,No issues
a001191,andy,2020-08-31,yes,,yes,,yes,,1,1,https://doi.pangaea.de/10.1594/PANGAEA.903123,yes,,https://doi.pangaea.de/10.1594/PANGAEA.903123,yes,,PANGAEA,yes,,yes,,No issues
a001265,andy,2020-08-31,yes,,no,,other,Direct links to data,2,1,https://intarch.ac.uk/journal/issue45/4/TerrainCoefficientDataTable.xlsx,yes,,https://intarch.ac.uk/journal/issue45/4/TerrainCoefficientDataTable.xlsx,no,,,yes,,yes,,"Online article, data files on journal website"
a001265,andy,2020-08-31,yes,,no,,other,Direct links to data,2,2,https://intarch.ac.uk/journal/issue45/4/TerrainCoefficientDataTable.csv,yes,,https://intarch.ac.uk/journal/issue45/4/TerrainCoefficientDataTable.csv,no,,,yes,,yes,,"Online article, data files on journal website"
a001273,andy,2020-08-31,yes,,yes,,yes,,1,1,http://archaeologydataservice.ac.uk/archives/view/accord_ahrc_2015/,yes,,https://archaeologydataservice.ac.uk/archives/view/accord_ahrc_2015/,yes,,Archaeology Data Service,yes,,partial,Over 10MB of data files,"Appears to be a project hub, with links to sub-projects"
a001293,andy,2020-08-31,yes,,yes,,yes,,2,1,https://doi.org/10.14284/329,yes,,http://www.vliz.be/en/imis?dasid=4687&doiid=329,yes,,VLIZ,yes,,yes,,"More recent data files also available with differenct DOI, also successfully downloaded"
a001293,andy,2020-08-31,yes,,yes,,yes,,2,2,https://doi.org/10.14284/PANGAEA.329,no,Invalid DOI,,,,,,,,,Very similar to resolved URL
a001356,andy,2020-08-31,yes,,no,,other,Direct links to data,1,1,https://intarch.ac.uk/journal/issue52/3/glassdata.xls,yes,,https://intarch.ac.uk/journal/issue52/3/glassdata.xls,no,,,yes,,yes,,"Online article, data files on journal website"
a001421,andy,2020-10-15,yes,,yes,,yes,,1,1,http://figshare.com/authors/Lorna_Richardson/606491,yes,,https://figshare.com/authors/Lorna_Richardson/606491,yes,,Figshare,yes,,yes,,"Link to author's personal Figshare page, had to find files from context of paper"
a001422,andy,2020-10-15,yes,,yes,,yes,,1,1,https://doi.org/10.5284/1052664,yes,,https://archaeologydataservice.ac.uk/archives/view/breedon_nu_2019/,yes,,Archaeology Data Service,yes,,yes,,Multiple files arranged by data type
a001426,andy,2020-10-22,yes,,yes,,yes,,1,1,https://dx.doi.org/10.5285/2503df629a8a485e8582e5150876b210,yes,,https://catalogue.ceda.ac.uk/uuid/2503df629a8a485e8582e5150876b210,yes,,The CEDA Archive,yes,,other,Account required to access data,Account required to access data
a001436,andy,2020-10-22,yes,,yes,,yes,,1,1,https://doi.org/10.7910/DVN/AT2FEZ,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/AT2FEZ,yes,,Harvard Dataverse,yes,,yes,,No issues
